,SLWL,SLWR,SCL,SCR,SRWL,SRWR,SDL,SDR,GLWL,GLWR,GCL,GCR,GRWL,GRWR,GDL,GDR,Goalie_Catches,Saved_Shots_Total,Goals_Total,Shots_Total,SV%,SV%_Left,SV%_Right,SV%_LeftWing_Total,SV%_LeftWing_Left,SV%_LeftWing_Right,SV%_Center_Total,SV%_Center_Left,SV%_Center_Right,SV%_RightWing_Total,SV%_RightWing_Left,SV%_RightWing_Right,SV%_Defense_Total,SV%_Defense_Left,SV%_Defense_Right,player_id,player_name
8471227,142,31,152,88,29,57,146,113,23,3,26,11,8,10,9,5,L,758,95,853,0.8886283704572099,0.8766355140186916,0.9088050314465409,0.8693467336683417,0.8606060606060606,0.9117647058823529,0.8664259927797834,0.8539325842696629,0.8888888888888888,0.8269230769230769,0.7837837837837838,0.8507462686567164,0.9487179487179487,0.9419354838709677,0.9576271186440678,8471227,Devan Dubnyk
8476914,164,31,207,107,47,71,172,139,24,2,22,12,5,10,9,9,L,938,93,1031,0.9097963142580019,0.9076923076923077,0.9133858267716536,0.8823529411764706,0.8723404255319149,0.9393939393939394,0.9022988505747126,0.9039301310043668,0.8991596638655462,0.8872180451127819,0.9038461538461539,0.8765432098765432,0.9452887537993921,0.9502762430939227,0.9391891891891891,8476914,Joonas Korpisalo
8475883,272,27,253,178,87,146,265,218,36,6,27,33,15,14,9,12,L,1446,152,1598,0.904881101376721,0.9097510373443983,0.8974763406940063,0.8768328445747801,0.8831168831168831,0.8181818181818182,0.8778004073319755,0.9035714285714286,0.8436018957345972,0.8893129770992366,0.8529411764705882,0.9125,0.9583333333333334,0.9671532846715328,0.9478260869565217,8475883,Frederik Andersen
8474889,226,35,197,149,61,89,149,125,33,5,15,25,3,15,15,7,L,1031,118,1149,0.897302001740644,0.9055793991416309,0.8844444444444445,0.8729096989966555,0.8725868725868726,0.875,0.8963730569948186,0.9292452830188679,0.8563218390804598,0.8928571428571429,0.953125,0.8557692307692307,0.9256756756756757,0.9085365853658537,0.946969696969697,8474889,Martin Jones
8471469,173,21,167,116,40,95,166,124,19,6,29,20,3,17,8,5,L,902,107,1009,0.8939544103072349,0.9024793388429752,0.8811881188118812,0.8858447488584474,0.9010416666666666,0.7777777777777778,0.8524096385542169,0.8520408163265306,0.8529411764705882,0.8709677419354839,0.9302325581395349,0.8482142857142857,0.9570957095709571,0.9540229885057471,0.9612403100775194,8471469,Pekka Rinne
8476883,290,37,321,216,47,158,255,237,32,2,38,27,9,16,11,7,L,1561,142,1703,0.9166177334116266,0.9102691924227319,0.9257142857142857,0.9058171745152355,0.9006211180124224,0.9487179487179487,0.8920265780730897,0.8941504178272981,0.8888888888888888,0.8913043478260869,0.8392857142857143,0.9080459770114943,0.9647058823529412,0.9586466165413534,0.9713114754098361,8476883,Andrei Vasilevskiy
8475831,197,29,193,142,59,91,157,164,23,6,19,19,8,10,7,5,L,1032,97,1129,0.9140832595217007,0.9140271493212669,0.9141630901287554,0.8862745098039215,0.8954545454545455,0.8285714285714286,0.8981233243967829,0.910377358490566,0.8819875776397516,0.8928571428571429,0.8805970149253731,0.900990099009901,0.963963963963964,0.9573170731707317,0.9704142011834319,8475831,Philipp Grubauer
8471774,155,20,160,144,77,90,200,144,15,5,15,20,13,12,14,9,L,990,103,1093,0.9057639524245197,0.9121725731895224,0.8963963963963963,0.8974358974358975,0.9117647058823529,0.8,0.8967551622418879,0.9142857142857143,0.8780487804878049,0.8697916666666666,0.8555555555555555,0.8823529411764706,0.9373297002724795,0.9345794392523364,0.9411764705882353,8471774,Alex Stalock
8479292,36,4,28,11,24,9,22,27,7,0,4,0,2,4,2,1,R,161,20,181,0.8895027624309392,0.88,0.9107142857142857,0.851063829787234,0.8372093023255814,1.0,0.9069767441860465,0.875,1.0,0.8461538461538461,0.9230769230769231,0.6923076923076923,0.9423076923076923,0.9166666666666666,0.9642857142857143,8479292,Charlie Lindgren
8477424,202,21,214,136,53,117,159,158,20,4,27,12,12,18,4,7,L,1060,104,1164,0.9106529209621993,0.9088277858176556,0.9133192389006343,0.902834008097166,0.9099099099099099,0.84,0.8997429305912596,0.8879668049792531,0.918918918918919,0.85,0.8153846153846154,0.8666666666666667,0.9664634146341463,0.9754601226993865,0.9575757575757575,8477424,Juuse Saros
8471418,151,23,172,107,54,82,161,131,12,3,15,7,8,8,5,10,L,881,68,949,0.928345626975764,0.9307958477508651,0.9245283018867925,0.9206349206349206,0.9263803680981595,0.8846153846153846,0.9269102990033222,0.9197860962566845,0.9385964912280702,0.8947368421052632,0.8709677419354839,0.9111111111111111,0.9511400651465798,0.9698795180722891,0.9290780141843972,8471418,Anton Khudobin
8468685,183,13,161,84,45,73,135,109,17,2,21,13,6,14,8,7,L,803,88,891,0.9012345679012346,0.9097222222222222,0.8857142857142857,0.9116279069767442,0.915,0.8666666666666667,0.8781362007168458,0.8846153846153846,0.865979381443299,0.855072463768116,0.8823529411764706,0.8390804597701149,0.9420849420849421,0.9440559440559441,0.9396551724137931,8468685,Henrik Lundqvist
8471695,218,30,236,149,64,88,200,180,20,2,24,18,3,11,7,10,L,1165,95,1260,0.9246031746031746,0.9300518134715026,0.9159836065573771,0.9185185185185185,0.9159663865546218,0.9375,0.9016393442622951,0.9076923076923077,0.8922155688622755,0.9156626506024096,0.9552238805970149,0.8888888888888888,0.9571788413098237,0.966183574879227,0.9473684210526315,8471695,Tuukka Rask
8475852,174,34,184,144,63,109,148,136,18,6,22,26,7,10,7,8,L,992,104,1096,0.9051094890510949,0.913322632423756,0.8942917547568711,0.896551724137931,0.90625,0.85,0.8723404255319149,0.8932038834951457,0.8470588235294118,0.91005291005291,0.9,0.9159663865546218,0.9498327759197325,0.9548387096774194,0.9444444444444444,8475852,Petr Mrazek
8476999,191,24,186,131,49,89,159,153,30,2,20,16,5,11,5,3,L,982,92,1074,0.9143389199255121,0.9069767441860465,0.9254079254079254,0.8704453441295547,0.8642533936651584,0.9230769230769231,0.8980169971671388,0.9029126213592233,0.891156462585034,0.8961038961038961,0.9074074074074074,0.89,0.975,0.9695121951219512,0.9807692307692307,8476999,Linus Ullmark
8480382,162,16,198,118,39,119,170,144,24,5,24,16,5,8,7,7,L,966,96,1062,0.9096045197740112,0.904610492845787,0.9168591224018475,0.8599033816425121,0.8709677419354839,0.7619047619047619,0.8876404494382022,0.8918918918918919,0.8805970149253731,0.9239766081871345,0.8863636363636364,0.937007874015748,0.9573170731707317,0.96045197740113,0.9536423841059603,8480382,Alexandar Georgiev
8474596,104,13,139,82,49,72,121,68,8,2,14,9,6,6,4,3,L,648,52,700,0.9257142857142857,0.9280898876404494,0.9215686274509803,0.9212598425196851,0.9285714285714286,0.8666666666666667,0.9057377049180327,0.9084967320261438,0.9010989010989011,0.9097744360902256,0.8909090909090909,0.9230769230769231,0.9642857142857143,0.968,0.9577464788732394,8474596,Jake Allen
8467950,142,30,158,129,42,82,166,169,15,4,17,23,6,18,6,11,L,918,100,1018,0.9017681728880157,0.9202898550724637,0.8798283261802575,0.900523560209424,0.9044585987261147,0.8823529411764706,0.8776758409785933,0.9028571428571428,0.8486842105263158,0.8378378378378378,0.875,0.82,0.9517045454545454,0.9651162790697675,0.9388888888888889,8467950,Craig Anderson
8470147,102,14,83,47,54,58,76,66,12,0,11,8,5,4,8,6,L,500,54,554,0.9025270758122743,0.8974358974358975,0.9113300492610837,0.90625,0.8947368421052632,1.0,0.87248322147651,0.8829787234042553,0.8545454545454545,0.9256198347107438,0.9152542372881356,0.9354838709677419,0.9102564102564102,0.9047619047619048,0.9166666666666666,8470147,Curtis McElhinney
8476341,16,1,3,18,4,5,12,11,1,0,3,0,1,1,1,1,L,70,8,78,0.8974358974358975,0.8536585365853658,0.9459459459459459,0.9444444444444444,0.9411764705882353,1.0,0.875,0.5,1.0,0.8181818181818182,0.8,0.8333333333333334,0.92,0.9230769230769231,0.9166666666666666,8476341,Anton Forsberg
8475622,133,12,182,121,42,92,122,120,17,4,24,17,8,11,8,6,L,824,95,919,0.8966267682263329,0.8936567164179104,0.9007832898172323,0.8734939759036144,0.8866666666666667,0.75,0.8808139534883721,0.883495145631068,0.8768115942028986,0.8758169934640523,0.84,0.8932038834951457,0.9453125,0.9384615384615385,0.9523809523809523,8475622,Carter Hutton
8476316,96,6,99,68,9,56,67,61,14,4,16,8,3,8,2,3,L,462,58,520,0.8884615384615384,0.8856209150326797,0.8925233644859814,0.85,0.8727272727272727,0.6,0.8743455497382199,0.8608695652173913,0.8947368421052632,0.8552631578947368,0.75,0.875,0.9624060150375939,0.9710144927536232,0.953125,8476316,Laurent Brossoit
8477180,185,14,178,117,38,108,143,112,20,1,20,16,6,19,9,2,L,895,93,988,0.9058704453441295,0.9081803005008348,0.9023136246786633,0.9045454545454545,0.9024390243902439,0.9333333333333333,0.8912386706948641,0.898989898989899,0.8796992481203008,0.8538011695906432,0.8636363636363636,0.8503937007874016,0.9586466165413534,0.9407894736842105,0.9824561403508771,8477180,Aaron Dell
8470657,108,27,151,95,51,62,131,98,11,5,27,13,12,10,8,11,L,723,97,820,0.8817073170731707,0.8837675350701403,0.8785046728971962,0.8940397350993378,0.907563025210084,0.84375,0.8601398601398601,0.848314606741573,0.8796296296296297,0.837037037037037,0.8095238095238095,0.8611111111111112,0.9233870967741935,0.9424460431654677,0.8990825688073395,8470657,Jimmy Howard
8475311,143,11,156,111,39,90,153,145,14,0,21,6,4,10,7,8,L,848,70,918,0.9237472766884531,0.9143389199255121,0.937007874015748,0.9166666666666666,0.910828025477707,1.0,0.9081632653061225,0.8813559322033898,0.9487179487179487,0.9020979020979021,0.9069767441860465,0.9,0.952076677316294,0.95625,0.9477124183006536,8475311,Darcy Kuemper
8477465,135,24,163,119,49,113,175,134,24,1,20,14,6,8,4,2,L,912,79,991,0.9202825428859738,0.90625,0.9397590361445783,0.8641304347826086,0.8490566037735849,0.96,0.8924050632911392,0.8907103825136612,0.8947368421052632,0.9204545454545454,0.8909090909090909,0.9338842975206612,0.9809523809523809,0.9776536312849162,0.9852941176470589,8477465,Tristan Jarry
